date,temperature_2m,relative_humidity_2m,dew_point_2m,weather_code,pressure_msl
2015-12-15 12:00:00,5.489,92.623695,4.389,3.0,1023.3
2015-12-16 12:00:00,6.739,90.15767,5.239,2.0,1026.9
2015-12-17 12:00:00,11.589,95.15173,10.839,3.0,1020.7
2015-12-18 12:00:00,11.789,91.74169,10.488999,3.0,1019.0
2015-12-19 12:00:00,10.889,85.71074,8.589,1.0,1021.2
2015-12-20 12:00:00,10.539,79.48726,7.139,2.0,1017.7
2015-12-21 12:00:00,10.539,84.80615,8.089,3.0,1018.3
2015-12-22 12:00:00,11.039,84.57476,8.539,53.0,1019.7
2015-12-23 12:00:00,12.589,69.179596,7.089,0.0,1020.0
2015-12-24 12:00:00,8.688999,84.89124,6.289,1.0,1023.7
2015-12-25 12:00:00,9.589,75.07652,5.389,1.0,1026.4
2015-12-26 12:00:00,13.688999,70.58667,8.438999,3.0,1020.5
2015-12-27 12:00:00,11.039,73.78769,6.539,1.0,1023.1
2015-12-28 12:00:00,7.339,78.46282,3.839,1.0,1031.7
2015-12-29 12:00:00,6.039,73.92572,1.7390001,2.0,1031.4
2015-12-30 12:00:00,2.139,64.514496,-3.861,1.0,1033.8
2015-12-31 12:00:00,1.839,54.550053,-6.361,0.0,1023.7
